to,from,value
as,chn,2
as,eu,
as,na,
as,sa,
as,ca,
as,anz,
as,idn,1038
as,af,120318
as,ind,68245
as,jp,
as,sea,424
as,rus,
bb,chn,1744
bb,eu,
bb,na,1
bb,sa,7
bb,ca,
bb,anz,9
bb,idn,203081
bb,af,91194
bb,ind,666611
bb,jp,86
bb,sea,59739
bb,rus,1
gg,chn,
gg,eu,5
gg,na,
gg,sa,177
gg,ca,
gg,anz,
gg,idn,
gg,af,175181
gg,ind,
gg,jp,
gg,sea,
gg,rus,
gm,chn,
gm,eu,5363
gm,na,37116
gm,sa,12033
gm,ca,80778
gm,anz,
gm,idn,
gm,af,5412
gm,ind,
gm,jp,
gm,sea,
gm,rus,22
io,chn,59607
io,eu,
io,na,17
io,sa,22816
io,ca,2
io,anz,965
io,idn,310072
io,af,46868
io,ind,42709
io,jp,2972
io,sea,28337
io,rus,36
js,chn,79327
js,eu,
js,na,32
js,sa,4
js,ca,8
js,anz,35
js,idn,179651
js,af,1
js,ind,1
js,jp,3822
js,sea,44167
js,rus,46
ms,chn,
ms,eu,340328
ms,na,1
ms,sa,
ms,ca,2
ms,anz,
ms,idn,
ms,af,154465
ms,ind,
ms,jp,
ms,sea,
ms,rus,
na,chn,
na,eu,137628
na,na,367287
na,sa,53706
na,ca,170361
na,anz,
na,idn,
na,af,87858
na,ind,
na,jp,
na,sea,
na,rus,611
np,chn,871225
np,eu,1
np,na,113216
np,sa,1263
np,ca,8846
np,anz,5
np,idn,76464
np,af,1
np,ind,
np,jp,408585
np,sea,10437
np,rus,11142
os,chn,79750
os,eu,269046
os,na,2138
os,sa,7965
os,ca,957
os,anz,11753
os,idn,114108
os,af,65748
os,ind,14774
os,jp,15351
os,sea,10008
os,rus,2324
sa,chn,427
sa,eu,
sa,na,
sa,sa,149880
sa,ca,
sa,anz,29
sa,idn,3439
sa,af,32645
sa,ind,1562
sa,jp,22
sa,sea,307
sa,rus,
sc,chn,556487
sc,eu,
sc,na,86
sc,sa,3
sc,ca,27
sc,anz,3
sc,idn,103128
sc,af,
sc,ind,
sc,jp,13081
sc,sea,90474
sc,rus,189
sp,chn,7552
sp,eu,
sp,na,114
sp,sa,67252
sp,ca,2674
sp,anz,37066
sp,idn,56547
sp,af,5740
sp,ind,2071
sp,jp,498
sp,sea,4072
sp,rus,4
ys,chn,92687
ys,eu,
ys,na,16
ys,sa,1
ys,ca,5
ys,anz,
ys,idn,3049
ys,af,
ys,ind,
ys,jp,21780
ys,sea,296
ys,rus,22
